one,two
Eres,Ты есть
agua,вода
que,которая
en verano,летом
me,меня
refresca,освежает
,
En,в
el viento,ветре
puedo,могу
escuchar,слышать
Tu,Твой
voz,голос
,
Melodías,Мелодии
haces,делаешь
que,которые
para,для
Ti,Тебя
abren,открывают
hoy,сегодня
,
Un lugar,место
dentro,внутри
de mi,моего
corazón,сердца
,
,
Eres,Ты есть
aire,воздух
que,который
en verano,летом
me,меня
refresca,освежает
,
Me,меня
renuevas,обновляешь
desde adentro,изнутри
y,и
fruto,плод
doy,даю
,
Sé ,знаю
que,что
en,в
cada,каждом
temporada,времени года
en,в
Ti,Тебе
seguro,уверен
estoy,я есмь
,
Sobre,На
mí,мне
permanece,пребывает
Tu,Твоя
favor,благосклонность
,
,
Vienes,Приходишь
como,как
una cascada,водопад
,
Con,с
fuerza,силой
me,меня
amas,любишь
,
Como,как
nadie,никто
más,более
,
Indescriptible,неописуема
es,есть
el tamaño,величина
de Tu,твоей
gracia,благодати
,
Me,мне
basta,достаточна
Tu,Твоя
amor,любовь
,
,
Eres,ты есть
lluvia,дождь
que,который
despierta,будит
mi,мою
esperanza,надежду
,
Bondadoso,Добр
eres,ты есть
sin,без
comparación,сравнения
,
Infinito,бесконечный
inagotable,неисчерпаемый
Tu,Ты
eres,есть
amor,любовь
,
Eres,Есть
Tu,Ты
mi,моё
eterna,вечное
habitación,жилище